LA_name,LA_code,Covid_Death_Total,Population_Density,Children,Teenagers,Adults,Middle Age Adults,Senior,Good Health,Very good health,Bad health,Very bad health,No Dimension ,one dimension,two dimensions,three dimensions,four dimensions,Economically active (excluding full-time students),Economically active and a full-time student,Economically inactive
Mole Valley,E07000210,2.73,87.39,172.18,41.51,136.18,412.55,237.59,437.34,525.85,28.62,8.19,241.03,131.71,42.2,9.09,0.98,492.28,11.56,323.98
New Forest,E07000091,1.72,175.78,153.82,36.97,132.32,383.1,293.79,490.91,461.24,37.17,10.72,227.03,151.3,52.71,9.51,0.72,453.1,12.13,380.96
Newark and Sherwood,E07000175,1.81,122.95,170.7,40.23,169.43,394.59,225.05,495.13,446.95,45.16,12.78,213.09,145.1,60.57,14.18,0.8,471.84,12.58,344.89
Newcastle upon Tyne,E08000021,1.64,300.13,172.18,68.1,270.82,340.57,148.33,452.87,483.85,48.4,14.86,189.14,133.84,64.7,20.49,0.98,410.8,45.31,371.69
Newcastle-under-Lyme,E07000195,2.84,123.31,163.14,51.42,186.49,382.07,216.88,497.93,439.47,48.43,14.12,202.61,147.79,66.42,15.79,0.65,460.4,23.3,353.11
Newham,E09000025,2.12,351.04,213.26,50.61,287.77,376.66,71.69,440.61,514.13,33.68,11.57,129.33,117.64,60.48,20.17,1.43,480,34.87,271.86
North Devon,E07000043,0.56,98.61,166.5,39.8,148.62,386.95,258.13,475.2,467.86,44.13,12.83,209.97,153.37,60.95,12.86,0.91,466.42,11.61,355.51
North East Derbyshire,E07000038,2.67,102,163.99,37.24,155.96,394.49,248.32,500.05,435.11,50.65,14.21,211.89,154.63,67.8,15.88,0.65,463.58,11.63,360.82
North East Lincolnshire,E06000012,1.61,156.97,187.56,41.43,176.45,385.37,209.19,504.41,430.58,50.4,14.61,195.59,153.85,74.02,20.53,0.86,450.24,15.09,347.08
North Hertfordshire,E07000099,2.24,133.21,191.19,38.75,166.24,409.88,193.93,455.52,505.85,30.7,7.93,234.45,134.36,46.99,9.47,0.62,512.21,13.35,283.25
North Kesteven,E07000139,1.65,118.08,169.88,39.18,162.59,394.52,233.83,488.65,462.82,38.19,10.33,225.71,145.31,51.51,8.99,0.3,486.24,13.25,330.63
North Lincolnshire,E06000013,1.64,169.67,178.06,40.63,167.57,394.07,219.67,510.72,428.98,47.17,13.17,198.8,151.1,65.72,15.12,0.52,459.63,14.49,347.84
North Norfolk,E07000147,1.8,102.99,134.34,33.73,124.52,372.42,334.99,546.17,393.44,46.81,13.51,208.57,176.85,69.78,13.72,0.8,415.51,7.99,442.06
North Somerset,E06000024,1.54,216.73,176.08,38.8,151.85,393.93,239.33,471.61,475.7,41.05,11.64,224.96,146.19,52.85,11.84,0.88,477.15,14.89,331.88
North Tyneside,E08000022,2.06,208.95,179.26,38.27,170.24,406.97,205.26,477.63,460.25,48.76,13.43,227.69,149.63,65.71,16.97,0.57,478.74,13.56,328.52
North Warwickshire,E07000218,2.31,65.04,171.23,39.36,168.02,401.92,219.47,488.24,454.94,44.04,12.76,200.38,148.14,61.38,13.64,0.54,498.52,12.13,318.11
North West Leicestershire,E07000134,2.02,104.71,177.07,40.89,179.3,402.15,200.59,482.25,469.7,37.4,10.66,221.36,142.4,54.17,11.09,0.5,502.95,12.79,307.18
Northumberland,E06000057,2.18,320.57,161.34,38.33,145.89,400.05,254.39,500.16,437.63,48.8,13.41,222.36,155.68,63.98,15.71,0.6,452.94,10.62,375.11
Norwich,E07000148,1.39,143.93,160.93,62.37,279.42,347.83,149.44,504.21,439.34,44.34,12.08,201.37,154.02,69.86,21.21,1.4,456.54,37.15,345.37
Nottingham,E06000018,1.97,323.63,183.27,87.32,284.66,327.44,117.31,463.98,475.72,45.69,14.63,160.31,132.7,69.64,21.68,1.13,396.5,45.16,375.08
